total_completed_percentage,total_in_progress_percentage,total_incomplete_percentage,report_time,date,has_recent_task_completed,task_lists,title,description,completion_status,total_tasks_completed,total_tasks,completion_percentage
82,0,17,2023-09-06T03:10:22+00:00,2023-08-14,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Monday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 4, 'total_tasks': 4, 'completion_percentage': 100}]",King - FOH Opening Procedure,,incomplete,0,13,0
82,0,17,2023-09-06T03:10:22+00:00,2023-08-14,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Monday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 4, 'total_tasks': 4, 'completion_percentage': 100}]",Deep Cleaning - Monday,,complete,4,4,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-15,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Tuesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 2, 'total_tasks': 2, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",BOH Closing Procedure,,complete,24,24,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-15,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Tuesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 2, 'total_tasks': 2, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",FOH Closing Procedure,,complete,24,24,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-15,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Tuesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 2, 'total_tasks': 2, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",King - Daily Prep,,complete,10,10,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-15,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Tuesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 2, 'total_tasks': 2, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",Deep Cleaning - Tuesday,,complete,2,2,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-15,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Tuesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 2, 'total_tasks': 2, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",King - FOH Opening Procedure,,incomplete,0,13,0
82,0,17,2023-09-06T03:10:23+00:00,2023-08-16,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Wednesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",BOH Closing Procedure,,complete,24,24,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-16,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Wednesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",FOH Closing Procedure,,complete,24,24,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-16,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Wednesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",King - Daily Prep,,complete,10,10,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-16,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Wednesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",Deep Cleaning - Wednesday,,complete,3,3,100
82,0,17,2023-09-06T03:10:23+00:00,2023-08-16,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Wednesday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",King - FOH Opening Procedure,,incomplete,0,13,0
98,0,1,2023-09-06T03:10:24+00:00,2023-08-17,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 9, 'total_tasks': 10, 'completion_percentage': 90}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",BOH Closing Procedure,,complete,24,24,100
98,0,1,2023-09-06T03:10:24+00:00,2023-08-17,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 9, 'total_tasks': 10, 'completion_percentage': 90}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",FOH Closing Procedure,,complete,24,24,100
98,0,1,2023-09-06T03:10:24+00:00,2023-08-17,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 9, 'total_tasks': 10, 'completion_percentage': 90}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",King - Daily Prep,,incomplete,9,10,90
98,0,1,2023-09-06T03:10:24+00:00,2023-08-17,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 9, 'total_tasks': 10, 'completion_percentage': 90}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",King - FOH Opening Procedure,,complete,13,13,100
81,0,18,2023-09-06T03:10:24+00:00,2023-08-18,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Friday', 'description': 'Clean the Hood.', 'completion_status': 'complete', 'total_tasks_completed': 1, 'total_tasks': 1, 'completion_percentage': 100}]",BOH Closing Procedure,,complete,24,24,100
81,0,18,2023-09-06T03:10:24+00:00,2023-08-18,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Friday', 'description': 'Clean the Hood.', 'completion_status': 'complete', 'total_tasks_completed': 1, 'total_tasks': 1, 'completion_percentage': 100}]",FOH Closing Procedure,,complete,24,24,100
81,0,18,2023-09-06T03:10:24+00:00,2023-08-18,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Friday', 'description': 'Clean the Hood.', 'completion_status': 'complete', 'total_tasks_completed': 1, 'total_tasks': 1, 'completion_percentage': 100}]",King - Daily Prep,,complete,10,10,100
81,0,18,2023-09-06T03:10:24+00:00,2023-08-18,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Friday', 'description': 'Clean the Hood.', 'completion_status': 'complete', 'total_tasks_completed': 1, 'total_tasks': 1, 'completion_percentage': 100}]",King - FOH Opening Procedure,,incomplete,0,13,0
81,0,18,2023-09-06T03:10:24+00:00,2023-08-18,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Friday', 'description': 'Clean the Hood.', 'completion_status': 'complete', 'total_tasks_completed': 1, 'total_tasks': 1, 'completion_percentage': 100}]",Deep Cleaning - Friday,Clean the Hood.,complete,1,1,100
78,0,21,2023-09-06T03:10:25+00:00,2023-08-19,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Saturday', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 1, 'total_tasks': 4, 'completion_percentage': 25}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",BOH Closing Procedure,,complete,24,24,100
78,0,21,2023-09-06T03:10:25+00:00,2023-08-19,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Saturday', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 1, 'total_tasks': 4, 'completion_percentage': 25}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",FOH Closing Procedure,,complete,24,24,100
78,0,21,2023-09-06T03:10:25+00:00,2023-08-19,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Saturday', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 1, 'total_tasks': 4, 'completion_percentage': 25}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",King - Daily Prep,,complete,10,10,100
78,0,21,2023-09-06T03:10:25+00:00,2023-08-19,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Saturday', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 1, 'total_tasks': 4, 'completion_percentage': 25}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",Deep Cleaning - Saturday,,incomplete,1,4,25
78,0,21,2023-09-06T03:10:25+00:00,2023-08-19,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'Deep Cleaning - Saturday', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 1, 'total_tasks': 4, 'completion_percentage': 25}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}]",King - FOH Opening Procedure,,incomplete,0,13,0
100,0,0,2023-09-06T03:10:26+00:00,2023-08-20,True,"[{'title': 'Deep Cleaning - Sunday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",Deep Cleaning - Sunday,,complete,3,3,100
100,0,0,2023-09-06T03:10:26+00:00,2023-08-20,True,"[{'title': 'Deep Cleaning - Sunday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",BOH Closing Procedure,,complete,24,24,100
100,0,0,2023-09-06T03:10:26+00:00,2023-08-20,True,"[{'title': 'Deep Cleaning - Sunday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",FOH Closing Procedure,,complete,24,24,100
100,0,0,2023-09-06T03:10:26+00:00,2023-08-20,True,"[{'title': 'Deep Cleaning - Sunday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",King - Daily Prep,,complete,10,10,100
100,0,0,2023-09-06T03:10:26+00:00,2023-08-20,True,"[{'title': 'Deep Cleaning - Sunday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 3, 'total_tasks': 3, 'completion_percentage': 100}, {'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 13, 'total_tasks': 13, 'completion_percentage': 100}]",King - FOH Opening Procedure,,complete,13,13,100
81,0,18,2023-09-06T03:10:26+00:00,2023-08-21,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 23, 'total_tasks': 24, 'completion_percentage': 96}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Monday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 4, 'total_tasks': 4, 'completion_percentage': 100}]",BOH Closing Procedure,,complete,24,24,100
81,0,18,2023-09-06T03:10:26+00:00,2023-08-21,True,"[{'title': 'BOH Closing Procedure', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 24, 'total_tasks': 24, 'completion_percentage': 100}, {'title': 'FOH Closing Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 23, 'total_tasks': 24, 'completion_percentage': 96}, {'title': 'King - Daily Prep', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 10, 'total_tasks': 10, 'completion_percentage': 100}, {'title': 'King - FOH Opening Procedure', 'description': '', 'completion_status': 'incomplete', 'total_tasks_completed': 0, 'total_tasks': 13, 'completion_percentage': 0}, {'title': 'Deep Cleaning - Monday', 'description': '', 'completion_status': 'complete', 'total_tasks_completed': 4, 'total_tasks': 4, 'completion_percentage': 100}]",FOH Closing Procedure,,incomplete,23,24,96
